2001:250:342b::,138393,-1,cernet2 regional ix at guangxi university
2001:250:342c::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:342d::,138393,-1,cernet2 regional ix at guangxi university
2001:250:342e::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:342f::,23910,-1,china next generation internet cernet2
2001:250:3430::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:3431::,138393,-1,cernet2 regional ix at guangxi university
2001:250:3433::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:3434::,138393,-1,cernet2 regional ix at guangxi university
2001:250:343a::,138438,-1,cernet2 regional ix at guangxi normal university
2001:250:343c::,138393,-1,cernet2 regional ix at guangxi university
2001:250:343e::,23910,-1,china next generation internet cernet2
2001:250:343f::,138393,-1,cernet2 regional ix at guangxi university
2001:250:3444::,23910,-1,china next generation internet cernet2
2001:250:3445::,138393,-1,cernet2 regional ix at guangxi university
2001:250:3447::,23910,-1,china next generation internet cernet2
2001:250:3448::,138393,-1,cernet2 regional ix at guangxi university
2001:250:3449::,23910,-1,china next generation internet cernet2
2001:250:3800::,138440,-1,cernet2 regional ix at hainan normal university
2001:250:3807::,23910,-1,china next generation internet cernet2
2001:250:3808::,138440,-1,cernet2 regional ix at hainan normal university
2001:250:3814::,23910,-1,china next generation internet cernet2
2001:250:3c00::,138369,-1,cernet2 regional ix at shenzhen university
2001:250:3c03::,23910,-1,china next generation internet cernet2
2001:250:3c04::,138369,-1,cernet2 regional ix at shenzhen university
2001:250:3c0b::,23910,-1,china next generation internet cernet2
2001:250:3c0d::,138369,-1,cernet2 regional ix at shenzhen university
2001:250:3c0f::,23910,-1,china next generation internet cernet2
2001:250:3c11::,138369,-1,cernet2 regional ix at shenzhen university
2001:250:3c13::,23910,-1,china next generation internet cernet2
2001:250:3c14::,138369,-1,cernet2 regional ix at shenzhen university
2001:250:3c18::,23910,-1,china next generation internet cernet2
2001:250:3c19::,138369,-1,cernet2 regional ix at shenzhen university
2001:250:3c22::,23910,-1,china next generation internet cernet2
2001:250:4000::,24358,-1,cernet2 ix at huazhong university of science and technology
2001:250:4007::,23910,-1,china next generation internet cernet2
2001:250:4008::,24358,-1,cernet2 ix at huazhong university of science and technology
2001:250:400b::,23910,-1,china next generation internet cernet2
2001:250:400c::,24358,-1,cernet2 ix at huazhong university of science and technology
2001:250:4019::,23910,-1,china next generation internet cernet2
2001:250:4400::,24359,-1,cernet2 ix at central south university
2001:250:4418::,23910,-1,china next generation internet cernet2
2001:250:4419::,24359,-1,cernet2 ix at central south university
2001:250:441a::,23910,-1,china next generation internet cernet2
2001:250:4800::,24360,-1,cernet2 ix at zhengzhou university
2001:250:4837::,23910,-1,china next generation internet cernet2
2001:250:5002::,24361,-1,cernet2 ix at southeast university
2001:250:5009::,23910,-1,china next generation internet cernet2
2001:250:500a::,24361,-1,cernet2 ix at southeast university
2001:250:5011::,24364,-1,cernet2 ix at shanghai jiaotong university
2001:250:5012::,24361,-1,cernet2 ix at southeast university
2001:250:504a::,23910,-1,china next generation internet cernet2
2001:250:504b::,24361,-1,cernet2 ix at southeast university
2001:250:5060::,24349,-1,cernet2 ix at peking university
2001:250:5061::,24361,-1,cernet2 ix at southeast university
2001:250:5064::,23910,-1,china next generation internet cernet2
2001:250:5065::,24361,-1,cernet2 ix at southeast university
2001:250:506e::,23910,-1,china next generation internet cernet2
2001:250:5070::,24361,-1,cernet2 ix at southeast university
2001:250:5073::,23910,-1,china next generation internet cernet2
2001:250:5074::,24361,-1,cernet2 ix at southeast university
2001:250:507a::,23910,-1,china next generation internet cernet2
2001:250:5400::,24362,-1,cernet2 ix at university of science and technology of china
2001:250:5429::,23910,-1,china next generation internet cernet2
2001:250:5800::,24363,-1,cernet2 ix at shandong university
2001:250:5804::,23910,-1,china next generation internet cernet2
2001:250:5805::,138371,-1,cernet2 regional ix at ocean university of china
2001:250:5807::,23910,-1,china next generation internet cernet2
2001:250:5809::,24363,-1,cernet2 ix at shandong university
2001:250:5811::,23910,-1,china next generation internet cernet2
2001:250:5813::,24363,-1,cernet2 ix at shandong university
2001:250:5816::,138371,-1,cernet2 regional ix at ocean university of china
2001:250:5817::,24363,-1,cernet2 ix at shandong university
2001:250:5820::,138371,-1,cernet2 regional ix at ocean university of china
2001:250:5824::,24363,-1,cernet2 ix at shandong university
2001:250:5828::,138371,-1,cernet2 regional ix at ocean university of china
2001:250:5829::,24363,-1,cernet2 ix at shandong university
2001:250:582a::,138371,-1,cernet2 regional ix at ocean university of china
2001:250:582b::,24363,-1,cernet2 ix at shandong university
2001:250:5831::,138371,-1,cernet2 regional ix at ocean university of china
2001:250:5832::,24363,-1,cernet2 ix at shandong university
2001:250:5833::,138371,-1,cernet2 regional ix at ocean university of china
2001:250:5834::,24363,-1,cernet2 ix at shandong university
2001:250:5837::,23910,-1,china next generation internet cernet2
2001:250:5838::,24363,-1,cernet2 ix at shandong university
2001:250:583a::,23910,-1,china next generation internet cernet2
2001:250:583b::,24363,-1,cernet2 ix at shandong university
2001:250:5845::,138371,-1,cernet2 regional ix at ocean university of china
2001:250:584b::,24363,-1,cernet2 ix at shandong university
2001:250:5862::,138371,-1,cernet2 regional ix at ocean university of china
2001:250:5863::,24363,-1,cernet2 ix at shandong university
2001:250:5864::,138371,-1,cernet2 regional ix at ocean university of china
2001:250:5865::,24363,-1,cernet2 ix at shandong university
2001:250:5866::,138371,-1,cernet2 regional ix at ocean university of china
2001:250:5867::,24363,-1,cernet2 ix at shandong university
2001:250:586b::,23910,-1,china next generation internet cernet2
2001:250:586c::,24363,-1,cernet2 ix at shandong university
2001:250:5872::,23910,-1,china next generation internet cernet2
2001:250:5873::,24363,-1,cernet2 ix at shandong university
2001:250:5874::,23910,-1,china next generation internet cernet2
2001:250:5875::,138371,-1,cernet2 regional ix at ocean university of china
2001:250:5876::,24363,-1,cernet2 ix at shandong university
2001:250:5878::,23910,-1,china next generation internet cernet2
2001:250:6000::,24364,-1,cernet2 ix at shanghai jiaotong university
2001:250:6001::,24365,-1,cernet2 ix at fudan university
2001:250:6002::,23910,-1,china next generation internet cernet2
2001:250:6007::,24364,-1,cernet2 ix at shanghai jiaotong university
2001:250:6008::,23910,-1,china next generation internet cernet2
2001:250:6009::,24364,-1,cernet2 ix at shanghai jiaotong university
2001:250:600a::,23910,-1,china next generation internet cernet2
2001:250:600b::,24364,-1,cernet2 ix at shanghai jiaotong university
2001:250:600c::,23910,-1,china next generation internet cernet2
2001:250:600f::,24364,-1,cernet2 ix at shanghai jiaotong university
2001:250:602f::,23910,-1,china next generation internet cernet2
2001:250:6030::,24364,-1,cernet2 ix at shanghai jiaotong university
2001:250:6032::,23910,-1,china next generation internet cernet2
2001:250:6400::,24367,-1,cernet2 ix at zhejiang university
2001:250:6407::,23910,-1,china next generation internet cernet2
2001:250:6408::,24367,-1,cernet2 ix at zhejiang university
2001:250:6412::,23910,-1,china next generation internet cernet2
2001:250:6413::,24367,-1,cernet2 ix at zhejiang university
2001:250:6417::,23910,-1,china next generation internet cernet2
2001:250:6418::,24367,-1,cernet2 ix at zhejiang university
2001:250:6419::,23910,-1,china next generation internet cernet2
2001:250:641a::,24367,-1,cernet2 ix at zhejiang university
2001:250:6427::,23910,-1,china next generation internet cernet2
